valid_time,r,crwc,t,u,v,wind_speed,month,day_of_week,Temperature,Precipitation_mm,Relative_Humidity_%,Wind_Speed,Wind_Direction,Cloud_Cover_%
2022-03-02,1.093005100464196,7.258007e-07,-0.8155989209552938,0.0599063618118763,-1.5289256300735217,1.5300988054636375,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,0.8569243774135592,8.821476e-07,-0.7983114349990053,0.0430757197953035,-1.176668428222741,1.177456626637287,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,0.2384855814560038,6.377683e-07,-0.6945514572111631,0.1433524360830133,-1.2856812279133734,1.2936483837348438,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.532968329187747,6.3272665e-07,-0.8319387839353005,-0.1246566248469336,-2.0317896284732035,2.035610072801151,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,0.716627533011178,6.909511e-07,-0.7847803265206963,0.0605410296978585,-1.2944458170265771,1.2958607909395514,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.1099007190303642,5.7174293e-07,-0.7544649198865025,-0.022348107646753,-2.129752359035076,2.1298696083870623,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,0.4190316239413008,7.9594986e-07,-0.7381771761701943,0.1126462780050544,-1.181459114886499,1.186817097996478,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.2458446106781895,8.2070267e-07,-0.8052319255947827,-0.0882237462906531,-1.262800150018028,1.2658782122681125,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.333441178561198,5.9788266e-07,-0.8335630097166453,-0.000551320998212,-1.6431022851817432,1.6431023776759346,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,2.000831474673071,8.3538333e-07,-0.9379161994876396,-0.3686101130182873,-1.2203963266448692,1.2748492497184305,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.2199437009864391,5.474446e-07,-0.8139690094360923,0.0213169889289965,-1.8252262797891483,1.8253507571012024,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-02,1.3314220522972855,6.694109e-07,-0.8402835518644273,-0.0497002288039799,-1.4567282544290734,1.4575758367903684,3.0,2.0,-1.7697545,0.0,83.49074,9.387651,147.52881,22.800001
2022-03-03,1.2333950336741035,3.6794224500000004e-07,-1.0211478207403186,-0.239880221930627,-1.6343262655623447,1.651836814936768,3.0,3.0,1.9502454,0.0,82.80007,3.5455887,113.96249,64.0
2022-03-04,0.1020059787351836,8.711364e-08,-1.1860692806632622,0.2008414979796761,-1.5603619448762427,1.5732344727753365,3.0,4.0,0.2102454,0.0,78.38682,9.585739,55.71312,0.0
2022-03-04,-0.0926385137933299,8.1611475e-08,-1.0856089260788273,0.0058846944851536,-1.6894206841923107,1.6894309331268915,3.0,4.0,0.2102454,0.0,78.38682,9.585739,55.71312,0.0
2022-03-04,0.15523596059804,2.5218469e-08,-1.145152815793418,0.1611814351101105,-1.867610472510366,1.87455283522619,3.0,4.0,0.2102454,0.0,78.38682,9.585739,55.71312,0.0
2022-03-04,-0.0869360736161043,5.1809856e-08,-1.1277260292596178,0.0893234814788417,-1.577492732688414,1.580019622038999,3.0,4.0,0.2102454,0.0,78.38682,9.585739,55.71312,0.0
