valid_time,pressure_level,latitude,longitude,number,cc,r,crwc,t,u,v
2022-11-04,1000.0,13.05,-75.0,0.0,0.0,82.66570554285714,2.33416924e-06,26.414685285714288,-5.630938488571429,-0.8331359342857143
2022-11-05,1000.0,13.05,-75.0,0.0,0.0,82.66570554285714,2.33416924e-06,26.414685285714288,-5.630938488571429,-0.8331359342857143
2022-11-06,1000.0,13.05,-75.0,0.0,0.0,83.264129,5.3853693800000005e-06,25.521091114285714,1.7672666604285716,3.7800860800000002
2022-11-07,1000.0,13.05,-75.0,0.0,0.0,83.264129,5.3853693800000005e-06,25.521091114285714,1.7672666604285716,3.7800860800000002
2022-11-08,1000.0,13.05,-75.0,0.0,0.0,76.20606314285715,1.6961909337142857e-06,26.285783114285714,0.9303373849188572,-0.637950348
2022-11-09,1000.0,13.05,-75.0,0.0,0.0,76.20606314285715,1.6961909337142857e-06,26.285783114285714,0.9303373849188572,-0.637950348
2022-11-10,1000.0,13.05,-75.0,0.0,0.0,81.54941931428571,1.279744945142857e-06,25.55715962857143,-0.8041757620571429,2.8789422428571427
2022-11-11,1000.0,13.05,-75.0,0.0,0.0,81.54941931428571,1.279744945142857e-06,25.55715962857143,-0.8041757620571429,2.8789422428571427
2022-11-12,1000.0,13.05,-75.0,0.0,0.0,78.79908911428572,2.23141598e-06,26.305109057142857,-7.499139668571429,-2.0639262885714285
2022-11-13,1000.0,13.05,-75.0,0.0,0.0,78.79908911428572,2.23141598e-06,26.305109057142857,-7.499139668571429,-2.0639262885714285
2022-11-14,1000.0,13.05,-75.0,0.0,0.0,76.0704098857143,1.12310777e-06,26.920865771428574,-7.632357962857143,-1.2208855771428573
2022-11-15,1000.0,13.05,-75.0,0.0,0.0,76.0704098857143,1.12310777e-06,26.920865771428574,-7.632357962857143,-1.2208855771428573
2022-11-16,1000.0,13.05,-75.0,0.0,0.0,82.13877028571429,1.2303829942857144e-06,26.85724354285714,-11.137690628571429,-3.977221905714286
2022-11-17,1000.0,13.05,-75.0,0.0,0.0,82.0279836,2.2353317000000002e-06,26.74980022857143,-11.786019571428572,-2.5036279057142856
2022-11-18,1000.0,13.05,-75.0,0.0,0.0,82.0279836,2.2353317000000002e-06,26.74980022857143,-11.786019571428572,-2.5036279057142856
2022-11-19,1000.0,13.05,-75.0,0.0,0.0,75.37433351428572,9.812086088571428e-07,27.173053885714285,-14.167214257142858,-1.4387510017142857
2022-11-20,1000.0,13.05,-75.0,0.0,0.0,75.37433351428572,9.812086088571428e-07,27.173053885714285,-14.167214257142858,-1.4387510017142857
2022-11-21,1000.0,13.05,-75.0,0.0,0.0,75.10137922857143,1.0980374922857143e-07,26.933455514285715,-12.4290287,-2.7923348428571426
2022-11-22,1000.0,13.05,-75.0,0.0,0.0,75.10137922857143,1.0980374922857143e-07,26.933455514285715,-12.4290287,-2.7923348428571426
2022-11-23,1000.0,13.05,-75.0,0.0,0.0,81.3007245142857,1.8413275705714287e-06,26.303043657142858,-10.057652571428571,-0.7247399771428572
2022-11-24,1000.0,13.05,-75.0,0.0,0.0,81.3007245142857,1.8413275705714287e-06,26.303043657142858,-10.057652571428571,-0.7247399771428572
2022-11-25,1000.0,13.05,-75.0,0.0,0.0,84.65509245714286,2.545594002857143e-06,25.865811571428573,-9.729267242857143,-0.9429765965714285
2022-11-26,1000.0,13.05,-75.0,0.0,0.0,84.65509245714286,2.545594002857143e-06,25.865811571428573,-9.729267242857143,-0.9429765965714285
2022-11-27,1000.0,13.05,-75.0,0.0,0.0,76.89813028571429,7.369103260057143e-07,26.53401097142857,-10.90580507142857,-2.4334250314285715
2022-11-28,1000.0,13.05,-75.0,0.0,0.0,76.89813028571429,7.369103260057143e-07,26.53401097142857,-10.90580507142857,-2.4334250314285715
2022-11-29,1000.0,13.05,-75.0,0.0,0.0,79.96707114285715,2.1587605971428573e-06,26.130274028571428,-11.119906528571429,-1.57803428
2022-11-30,1000.0,13.05,-75.0,0.0,0.0,79.96707114285715,2.1587605971428573e-06,26.130274028571428,-11.119906528571429,-1.57803428
2022-12-01,1000.0,13.05,-75.0,0.0,0.0,70.62970234285714,2.6453934082857144e-07,26.535783885714284,-11.018188528571429,-3.7390456685714284
2022-12-02,1000.0,13.05,-75.0,0.0,0.0,80.07967225714286,9.464039994285714e-07,25.699884114285716,-10.704439071428572,-3.559123097142857
2022-12-03,1000.0,13.05,-75.0,0.0,0.0,80.07967225714286,9.464039994285714e-07,25.699884114285716,-10.704439071428572,-3.559123097142857
2022-12-04,1000.0,13.05,-75.0,0.0,0.0,75.58017765714287,1.827567226e-07,26.012881914285714,-8.34286192,-3.783031868571429
2022-12-05,1000.0,13.05,-75.0,0.0,0.0,75.58017765714287,1.827567226e-07,26.012881914285714,-8.34286192,-3.783031868571429
2022-12-06,1000.0,13.05,-75.0,0.0,0.0,70.65807468571428,9.165359041999999e-08,25.87399885714286,-9.082897114285714,-2.358258385714286
2022-12-07,1000.0,13.05,-75.0,0.0,0.0,70.65807468571428,9.165359041999999e-08,25.87399885714286,-9.082897114285714,-2.358258385714286
2022-12-08,1000.0,13.05,-75.0,0.0,0.0,72.59524188571429,5.496200517142857e-07,25.425956942857145,-10.319824857142857,-2.81993534
2022-12-09,1000.0,13.05,-75.0,0.0,0.0,72.59524188571429,5.496200517142857e-07,25.425956942857145,-10.319824857142857,-2.81993534
2022-12-10,1000.0,13.05,-75.0,0.0,0.0,69.74057185714287,2.6975361524e-07,25.454400600000003,-9.510793514285714,-4.012361051428572
2022-12-11,1000.0,13.05,-75.0,0.0,0.0,69.74057185714287,2.6975361524e-07,25.454400600000003,-9.510793514285714,-4.012361051428572
2022-12-12,1000.0,13.05,-75.0,0.0,0.0,69.02003911428571,2.39335512e-08,25.641793485714285,-10.403900442857141,-1.7120026380000002
2022-12-13,1000.0,13.05,-75.0,0.0,0.0,69.02003911428571,2.39335512e-08,25.641793485714285,-10.403900442857141,-1.7120026380000002
2022-12-14,1000.0,13.05,-75.0,0.0,0.0,71.69990871428571,4.4302549571428566e-07,26.154559142857142,-12.734452914285715,-1.9986789514285717
2022-12-15,1000.0,13.05,-75.0,0.0,0.0,71.69990871428571,4.4302549571428566e-07,26.154559142857142,-12.734452914285715,-1.9986789514285717
2022-12-16,1000.0,13.05,-75.0,0.0,0.0,78.04211602857143,3.6291989760000004e-07,26.23345505714286,-14.555741000000001,-2.134981957142857
2022-12-17,1000.0,13.05,-75.0,0.0,0.0,77.84202322857142,2.7517706464e-07,26.239322485714286,-13.925969028571428,-3.1178128199999997
